metric,ebno_db,rank,receiver,value
ber,4.0,1,baseline_ls_lmmse,0.0
ber,4.0,2,baseline_ls_timeavg_lmmse,0.0
ber,4.0,3,baseline_ddcpe_ls_lmmse,0.0
ber,4.0,4,paper_cfgres_ls_lmmse,0.0
ber,4.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0
ber,4.0,6,upair5g_lmmse,0.0
ber,4.0,7,perfect_csi_lmmse,0.0
ber,4.0,8,baseline_ls_2dlmmse_lmmse,0.0300675677135586
ber,8.0,1,baseline_ls_lmmse,0.0
ber,8.0,2,baseline_ls_timeavg_lmmse,0.0
ber,8.0,3,baseline_ddcpe_ls_lmmse,0.0
ber,8.0,4,paper_cfgres_ls_lmmse,0.0
ber,8.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0
ber,8.0,6,upair5g_lmmse,0.0
ber,8.0,7,perfect_csi_lmmse,0.0
ber,8.0,8,baseline_ls_2dlmmse_lmmse,0.0057854729820974
bler,4.0,1,baseline_ls_lmmse,0.0
bler,4.0,2,baseline_ls_timeavg_lmmse,0.0
bler,4.0,3,baseline_ddcpe_ls_lmmse,0.0
bler,4.0,4,paper_cfgres_ls_lmmse,0.0
bler,4.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0
bler,4.0,6,upair5g_lmmse,0.0
bler,4.0,7,perfect_csi_lmmse,0.0
bler,4.0,8,baseline_ls_2dlmmse_lmmse,0.25
bler,8.0,1,baseline_ls_lmmse,0.0
bler,8.0,2,baseline_ls_timeavg_lmmse,0.0
bler,8.0,3,baseline_ddcpe_ls_lmmse,0.0
bler,8.0,4,paper_cfgres_ls_lmmse,0.0
bler,8.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0
bler,8.0,6,upair5g_lmmse,0.0
bler,8.0,7,perfect_csi_lmmse,0.0
bler,8.0,8,baseline_ls_2dlmmse_lmmse,0.125
nmse,4.0,1,perfect_csi_lmmse,0.0
nmse,4.0,2,paper_cfgres_phaseaware_ls_lmmse,0.0795219335705041
nmse,4.0,3,baseline_ddcpe_ls_lmmse,0.1122682634741067
nmse,4.0,4,upair5g_lmmse,0.1185400616377592
nmse,4.0,5,baseline_ls_lmmse,0.1206589359790086
nmse,4.0,6,baseline_ls_timeavg_lmmse,0.1206589359790086
nmse,4.0,7,paper_cfgres_ls_lmmse,0.1513910368084907
nmse,4.0,8,baseline_ls_2dlmmse_lmmse,0.2353507056832313
nmse,8.0,1,perfect_csi_lmmse,0.0
nmse,8.0,2,baseline_ddcpe_ls_lmmse,0.0481496527791023
nmse,8.0,3,paper_cfgres_phaseaware_ls_lmmse,0.0482356045395135
nmse,8.0,4,upair5g_lmmse,0.0616802955046296
nmse,8.0,5,baseline_ls_lmmse,0.0624708458781242
nmse,8.0,6,baseline_ls_timeavg_lmmse,0.0624708458781242
nmse,8.0,7,paper_cfgres_ls_lmmse,0.122014369815588
nmse,8.0,8,baseline_ls_2dlmmse_lmmse,0.2272103428840637
