receiver,ebno_db,ber,bler,nmse,bit_errors,num_bits,block_errors,num_blocks,num_batches_run,reliable_ber,reliable_bler
baseline_ls_lmmse,0.0,0.18115480556044466,1.0,0.12942476107855327,49008282,270532608,49152,49152,512,True,True
baseline_ls_2dlmmse_lmmse,0.0,0.2640949737193973,1.0,0.4880014752270654,71446302,270532608,49152,49152,512,True,True
baseline_ddcpe_ls_lmmse,0.0,0.18122919585353645,1.0,0.12968814629130065,49028407,270532608,49152,49152,512,True,True
upair5g_lmmse,0.0,0.1629897346792295,1.0,0.017867374303023098,44094038,270532608,49152,49152,512,True,True
perfect_csi_lmmse,0.0,0.15794996143311493,1.0,0.0,42730615,270532608,49152,49152,512,True,True
baseline_ls_lmmse,1.0,0.1580346055733141,1.0,0.10349101123574656,42753514,270532608,49152,49152,512,True,True
baseline_ls_2dlmmse_lmmse,1.0,0.24833871412646863,1.0,0.47314524988178164,67183720,270532608,49152,49152,512,True,True
baseline_ddcpe_ls_lmmse,1.0,0.15812350058740424,1.0,0.10372711448871996,42777563,270532608,49152,49152,512,True,True
upair5g_lmmse,1.0,0.13986186463703482,1.0,0.014098337320319843,37837195,270532608,49152,49152,512,True,True
perfect_csi_lmmse,1.0,0.13397169852441596,1.0,0.0,36243713,270532608,49152,49152,512,True,True
baseline_ls_lmmse,2.0,0.13270078703414562,1.0,0.08299875282682478,35899890,270532608,49152,49152,512,True,True
baseline_ls_2dlmmse_lmmse,2.0,0.23384312696235124,1.0,0.46088158420752734,63262191,270532608,49152,49152,512,True,True
baseline_ddcpe_ls_lmmse,2.0,0.1328245613926141,1.0,0.08319768379442394,35933375,270532608,49152,49152,512,True,True
upair5g_lmmse,2.0,0.11200099028358164,1.0,0.011242803293498582,30299920,270532608,49152,49152,512,True,True
perfect_csi_lmmse,2.0,0.10254749031954033,1.0,0.0,27742440,270532608,49152,49152,512,True,True
baseline_ls_lmmse,3.0,0.0991021939950396,1.0,0.06674597624805756,26810375,270532608,49152,49152,512,True,True
baseline_ls_2dlmmse_lmmse,3.0,0.2201882147973822,1.0,0.4502818919136189,59568092,270532608,49152,49152,512,True,True
baseline_ddcpe_ls_lmmse,3.0,0.09929466617199802,1.0,0.06690891418838874,26862445,270532608,49152,49152,512,True,True
upair5g_lmmse,3.0,0.0626981683479723,0.9799397786458334,0.009108788735829876,16961899,270532608,48166,49152,512,True,True
perfect_csi_lmmse,3.0,0.04180338216382404,0.8338826497395834,0.0,11309178,270532608,40987,49152,512,True,True
baseline_ls_lmmse,4.0,0.03761910652929498,0.7452392578125,0.053822378809854854,10177195,270532608,36630,49152,512,True,True
baseline_ls_2dlmmse_lmmse,4.0,0.20749994765880497,0.9994913736979166,0.43858573818579316,56135502,270532608,49127,49152,512,True,True
baseline_ddcpe_ls_lmmse,4.0,0.03793624759644501,0.7504475911458334,0.053951879795931745,10262992,270532608,36886,49152,512,True,True
upair5g_lmmse,4.0,0.010457057361454927,0.2544148763020833,0.007437995483087434,2828975,270532608,12505,49152,512,True,True
perfect_csi_lmmse,4.0,0.00523727254350056,0.13777669270833334,0.0,1416853,270532608,6772,49152,512,True,True
baseline_ls_lmmse,5.0,0.005241416221441224,0.13063557942708334,0.04354912158305524,1417974,270532608,6421,49152,512,True,True
baseline_ls_2dlmmse_lmmse,5.0,0.19572656468827596,0.9939778645833334,0.4289855581591837,52950418,270532608,48856,49152,512,True,True
baseline_ddcpe_ls_lmmse,5.0,0.005305870558864387,0.13163248697916666,0.04364416393946158,1435411,270532608,6470,49152,512,True,True
upair5g_lmmse,5.0,0.0010597095933071402,0.027750651041666668,0.006125821344539872,286686,270532608,1364,49152,512,True,True
perfect_csi_lmmse,5.0,0.0004671969155008479,0.0135498046875,0.0,126392,270532608,666,49152,512,True,True
baseline_ls_lmmse,6.0,0.0005920461420167431,0.016059798697454115,0.0353656032025073,176122,297480192,868,54048,563,True,True
baseline_ls_2dlmmse_lmmse,6.0,0.18735738882405992,0.982330521018354,0.421005860685667,55735112,297480192,53093,54048,563,True,True
baseline_ddcpe_ls_lmmse,6.0,0.0005985474152174811,0.016207815275310834,0.035433398728419364,178056,297480192,876,54048,563,True,True
upair5g_lmmse,6.0,9.741488939203051e-05,0.002793812907045589,0.005089658310845309,28979,297480192,151,54048,563,True,True
perfect_csi_lmmse,6.0,3.882947608155369e-05,0.0011101243339253996,0.0,11551,297480192,60,54048,563,True,True
baseline_ls_lmmse,7.0,7.596126822538154e-05,0.001803927951388889,0.02887445168380509,61650,811597824,266,147456,1536,True,True
baseline_ls_2dlmmse_lmmse,7.0,0.18005638960412,0.9674004448784722,0.4126208543699856,146133374,811597824,142649,147456,1536,True,True
baseline_ddcpe_ls_lmmse,7.0,7.663894377321544e-05,0.0018242730034722222,0.028920834557842074,62200,811597824,269,147456,1536,True,True
upair5g_lmmse,7.0,1.2240052531239907e-05,0.0003323025173611111,0.004261585752222648,9934,811597824,49,147456,1536,True,True
perfect_csi_lmmse,7.0,5.540921706561894e-06,0.00014241536458333334,0.0,4497,811597824,21,147456,1536,True,False
baseline_ls_lmmse,8.0,6.997308065724927e-06,0.00021701388888888888,0.023723120346403448,5679,811597824,32,147456,1536,True,True
baseline_ls_2dlmmse_lmmse,8.0,0.17409831424092137,0.9516737196180556,0.4043467711696091,141297813,811597824,140330,147456,1536,True,True
baseline_ddcpe_ls_lmmse,8.0,6.882719291273014e-06,0.00021701388888888888,0.023752983529751266,5586,811597824,32,147456,1536,True,True
upair5g_lmmse,8.0,1.3060656012798772e-06,2.712673611111111e-05,0.0035972408063571493,1060,811597824,4,147456,1536,True,False
perfect_csi_lmmse,8.0,4.71908608764333e-07,1.3563368055555555e-05,0.0,383,811597824,2,147456,1536,True,False
baseline_ls_lmmse,9.0,5.692474601804748e-07,4.7471788194444445e-05,0.019638471163489157,462,811597824,7,147456,1536,True,False
baseline_ls_2dlmmse_lmmse,9.0,0.16913034996013002,0.9350179036458334,0.39653566691170755,137265824,811597824,137874,147456,1536,True,True
baseline_ddcpe_ls_lmmse,9.0,6.062115809714147e-07,4.7471788194444445e-05,0.019654497778295383,492,811597824,7,147456,1536,True,False
upair5g_lmmse,9.0,0.0,0.0,0.003060735191411368,0,811597824,0,147456,1536,False,False
perfect_csi_lmmse,9.0,0.0,0.0,0.0,0,811597824,0,147456,1536,False,False
baseline_ls_lmmse,10.0,0.0,0.0,0.016381944450889325,0,811597824,0,147456,1536,False,False
