receiver,ebno_db,ber,bler,nmse,bit_errors,num_bits,block_errors,num_blocks,num_batches_run,reliable_ber,reliable_bler
baseline_ls_lmmse,0.0,0.178270123529096,1.0,0.143120389606338,26357098,147849216,24576,24576,256,True,True
baseline_ls_2dlmmse_lmmse,0.0,0.2656820378404982,1.0,0.5034511778503656,39280881,147849216,24576,24576,256,True,True
baseline_ddcpe_ls_lmmse,0.0,0.1781389425832329,1.0,0.1426802304922603,26337703,147849216,24576,24576,256,True,True
paper_cfgres_phaseaware_ls_lmmse,0.0,0.1745491501287365,1.0,0.1075931654486339,25806955,147849216,24576,24576,256,True,True
upair5g_lmmse,0.0,0.160285307160506,1.0,0.0290073559299344,23698057,147849216,24576,24576,256,True,True
perfect_csi_lmmse,0.0,0.1501645297868877,1.0,0.0,22201708,147849216,24576,24576,256,True,True
baseline_ls_lmmse,8.0,0.0001740759991584,0.0044148763020833,0.0350303115774295,102948,591396864,434,98304,1024,True,True
baseline_ls_2dlmmse_lmmse,8.0,0.1807547224328873,0.9627888997395834,0.4241126151173375,106897776,591396864,94646,98304,1024,True,True
baseline_ddcpe_ls_lmmse,8.0,3.594540535135472e-05,0.0008951822916666,0.0294904621205205,21258,591396864,88,98304,1024,True,True
paper_cfgres_phaseaware_ls_lmmse,8.0,0.0005030632019042,0.012542724609375,0.0583446438431565,297510,591396864,1233,98304,1024,True,True
upair5g_lmmse,8.0,1.3324385839151152e-06,6.103515625e-05,0.0065835073742164,788,591396864,6,98304,1024,True,False
perfect_csi_lmmse,8.0,8.623650733460773e-08,1.0172526041666666e-05,0.0,51,591396864,1,98304,1024,False,False
