receiver,ebno_db,ber,bler,nmse,bit_errors,num_bits,block_errors,num_blocks,num_batches_run,reliable_ber,reliable_bler
baseline_ls_lmmse,0.0,0.1809902634731559,1.0,0.12937594391405582,24481884,135266304,24576,24576,256,True,True
baseline_ls_2dlmmse_lmmse,0.0,0.2647414022637892,1.0,0.49166299460921437,35810591,135266304,24576,24576,256,True,True
baseline_ddcpe_ls_lmmse,0.0,0.1810628610063893,1.0,0.1296441716258414,24491704,135266304,24576,24576,256,True,True
paper_cfgres_phaseaware_ls_lmmse,0.0,0.17190125931140987,1.0,0.07091578139807098,23252448,135266304,24576,24576,256,True,True
upair5g_lmmse,0.0,0.1628102369086687,1.0,0.017837350904301275,22022739,135266304,24576,24576,256,True,True
perfect_csi_lmmse,0.0,0.15778926731080048,1.0,0.0,21343571,135266304,24576,24576,256,True,True
baseline_ls_lmmse,1.0,0.15810599807620973,1.0,0.10356707000755705,21386414,135266304,24576,24576,256,True,True
baseline_ls_2dlmmse_lmmse,1.0,0.24999247410500697,1.0,0.47874770557973534,33815558,135266304,24576,24576,256,True,True
baseline_ddcpe_ls_lmmse,1.0,0.15819592438926994,1.0,0.10380114443250932,21398578,135266304,24576,24576,256,True,True
paper_cfgres_phaseaware_ls_lmmse,1.0,0.14993163411931473,1.0,0.059307555318810046,20280698,135266304,24576,24576,256,True,True
upair5g_lmmse,1.0,0.13992966792380163,1.0,0.014136606885585934,18927769,135266304,24576,24576,256,True,True
perfect_csi_lmmse,1.0,0.13401285807291666,1.0,0.0,18127424,135266304,24576,24576,256,True,True
baseline_ls_lmmse,2.0,0.13264661241871442,1.0,0.0830299417139031,17942617,135266304,24576,24576,256,True,True
baseline_ls_2dlmmse_lmmse,2.0,0.2349479882292045,1.0,0.46454695938155055,31780546,135266304,24576,24576,256,True,True
baseline_ddcpe_ls_lmmse,2.0,0.13277257135672163,1.0,0.0832270446990151,17959655,135266304,24576,24576,256,True,True
paper_cfgres_phaseaware_ls_lmmse,2.0,0.125355602234833,1.0,0.049958624367718585,16956389,135266304,24576,24576,256,True,True
upair5g_lmmse,2.0,0.11194802809131238,1.0,0.01125262119967374,15142796,135266304,24576,24576,256,True,True
perfect_csi_lmmse,2.0,0.1024802895479424,1.0,0.0,13862130,135266304,24576,24576,256,True,True
baseline_ls_lmmse,3.0,0.09940128917841948,1.0,0.06681142700836062,13445645,135266304,24576,24576,256,True,True
baseline_ls_2dlmmse_lmmse,3.0,0.22180104070855666,1.0,0.4539644196629524,30002207,135266304,24576,24576,256,True,True
baseline_ddcpe_ls_lmmse,3.0,0.09960521283999894,1.0,0.0669748340442311,13473229,135266304,24576,24576,256,True,True
paper_cfgres_phaseaware_ls_lmmse,3.0,0.09244606846062713,1.0,0.04261311065056361,12504838,135266304,24576,24576,256,True,True
upair5g_lmmse,3.0,0.0631271850231082,0.979736328125,0.009117255074670538,8538981,135266304,24078,24576,256,True,True
perfect_csi_lmmse,3.0,0.04223554448563923,0.8381754557291666,0.0,5713046,135266304,20599,24576,256,True,True
baseline_ls_lmmse,4.0,0.037499146868092144,0.7430013020833334,0.05383441917365417,5072371,135266304,18260,24576,256,True,True
baseline_ls_2dlmmse_lmmse,4.0,0.20908943442411201,0.99951171875,0.44413090345915407,28282755,135266304,24564,24576,256,True,True
baseline_ddcpe_ls_lmmse,4.0,0.03780455182689105,0.7470703125,0.053959998476784676,5113682,135266304,18360,24576,256,True,True
paper_cfgres_phaseaware_ls_lmmse,4.0,0.033346338789592415,0.6432698567708334,0.03662837161391508,4510636,135266304,15809,24576,256,True,True
upair5g_lmmse,4.0,0.010531492011491643,0.2556559244791667,0.007443452168445219,1424556,135266304,6283,24576,256,True,True
perfect_csi_lmmse,4.0,0.005316793456558109,0.13972981770833334,0.0,719183,135266304,3434,24576,256,True,True
baseline_ls_lmmse,5.0,0.005514337110889051,0.13065592447916666,0.04349750489927828,745904,135266304,3211,24576,256,True,True
baseline_ls_2dlmmse_lmmse,5.0,0.1990404720454253,0.994384765625,0.43674565374385566,26923469,135266304,24438,24576,256,True,True
baseline_ddcpe_ls_lmmse,5.0,0.005571173143017199,0.132568359375,0.043591597393970005,753592,135266304,3258,24576,256,True,True
paper_cfgres_phaseaware_ls_lmmse,5.0,0.0060535770978114405,0.13749186197916666,0.03183645351236919,818845,135266304,3379,24576,256,True,True
upair5g_lmmse,5.0,0.0011813659076542818,0.030436197916666668,0.006120726300650858,159799,135266304,748,24576,256,True,True
perfect_csi_lmmse,5.0,0.0004923473032870034,0.01513671875,0.0,66598,135266304,372,24576,256,True,True
baseline_ls_lmmse,6.0,0.0006957255019875176,0.017172523961661343,0.03537709769397117,115062,165384192,516,30048,313,True,True
baseline_ls_2dlmmse_lmmse,6.0,0.19061296378314077,0.9835596379126731,0.4287664705572037,31524371,165384192,29554,30048,313,True,True
baseline_ddcpe_ls_lmmse,6.0,0.0007036222663892811,0.017305644302449415,0.03544633315441707,116368,165384192,520,30048,313,True,True
paper_cfgres_phaseaware_ls_lmmse,6.0,0.0009664466601499616,0.0235290202342918,0.028241105603809935,159835,165384192,707,30048,313,True,True
upair5g_lmmse,6.0,0.00015214876159385293,0.0033280085197018106,0.005096173834817383,25163,165384192,100,30048,313,True,True
perfect_csi_lmmse,6.0,7.656112622904129e-05,0.0016640042598509053,0.0,12662,165384192,50,30048,313,True,True
baseline_ls_lmmse,7.0,6.848897120749303e-05,0.0018107096354166667,0.028878091001388384,37057,541065216,178,98304,1024,True,True
baseline_ls_2dlmmse_lmmse,7.0,0.1844352123349212,0.9705607096354166,0.42371285345871,99791478,541065216,95410,98304,1024,True,True
baseline_ddcpe_ls_lmmse,7.0,6.867748822352683e-05,0.0018310546875,0.02892512420658022,37159,541065216,180,98304,1024,True,True
paper_cfgres_phaseaware_ls_lmmse,7.0,0.00015269693478133328,0.004109700520833333,0.025231982184777735,82619,541065216,404,98304,1024,True,True
upair5g_lmmse,7.0,1.165293907934381e-05,0.0003458658854166667,0.00426165652106647,6305,541065216,34,98304,1024,True,True
perfect_csi_lmmse,7.0,4.753585933714874e-06,0.00014241536458333334,0.0,2572,541065216,14,98304,1024,True,False
baseline_ls_lmmse,8.0,9.257664052090904e-06,0.0002950032552083333,0.02373702700060676,5009,541065216,29,98304,1024,True,True
baseline_ls_2dlmmse_lmmse,8.0,0.1797211669212164,0.9549560546875,0.41824457742040977,97240872,541065216,93876,98304,1024,True,True
baseline_ddcpe_ls_lmmse,8.0,9.435091831887415e-06,0.0002950032552083333,0.02376652610837482,5105,541065216,29,98304,1024,True,True
paper_cfgres_phaseaware_ls_lmmse,8.0,2.555329670277677e-05,0.0007120768229166666,0.02291515879005601,13826,541065216,70,98304,1024,True,True
upair5g_lmmse,8.0,1.1292538901632147e-06,2.0345052083333332e-05,0.0036011140657592478,611,541065216,2,98304,1024,True,False
perfect_csi_lmmse,8.0,1.0349953821463178e-07,1.0172526041666666e-05,0.0,56,541065216,1,98304,1024,False,False
baseline_ls_lmmse,9.0,1.0165133217508478e-07,1.0172526041666666e-05,0.019631133380244137,55,541065216,1,98304,1024,False,False
baseline_ls_2dlmmse_lmmse,9.0,0.1755227395730425,0.9414571126302084,0.4124373687664047,94969249,541065216,92549,98304,1024,True,True
baseline_ddcpe_ls_lmmse,9.0,1.1089236237281977e-07,1.0172526041666666e-05,0.019646585682494333,60,541065216,1,98304,1024,False,False
paper_cfgres_phaseaware_ls_lmmse,9.0,4.5521314754042515e-06,0.0001220703125,0.02102122224823688,2463,541065216,12,98304,1024,True,False
upair5g_lmmse,9.0,0.0,0.0,0.0030581000899019273,0,541065216,0,98304,1024,False,False
perfect_csi_lmmse,9.0,0.0,0.0,0.0,0,541065216,0,98304,1024,False,False
baseline_ls_lmmse,10.0,0.0,0.0,0.016385446673666593,0,541065216,0,98304,1024,False,False
baseline_ls_2dlmmse_lmmse,10.0,0.17204574651496354,0.9282430013020834,0.4078206279082224,93087969,541065216,91250,98304,1024,True,True
baseline_ddcpe_ls_lmmse,10.0,0.0,0.0,0.016391002625823603,0,541065216,0,98304,1024,False,False
paper_cfgres_phaseaware_ls_lmmse,10.0,1.003575879474019e-06,5.0862630208333336e-05,0.01962326049033436,543,541065216,5,98304,1024,True,False
upair5g_lmmse,10.0,0.0,0.0,0.002618054028516781,0,541065216,0,98304,1024,False,False
perfect_csi_lmmse,10.0,0.0,0.0,0.0,0,541065216,0,98304,1024,False,False
baseline_ls_lmmse,11.0,0.0,0.0,0.013794441319987527,0,541065216,0,98304,1024,False,False
baseline_ls_2dlmmse_lmmse,11.0,0.16830268941184348,0.9166259765625,0.4020236185169779,91062731,541065216,90108,98304,1024,True,True
baseline_ddcpe_ls_lmmse,11.0,0.0,0.0,0.013793181817163713,0,541065216,0,98304,1024,False,False
paper_cfgres_phaseaware_ls_lmmse,11.0,9.96183055315831e-07,2.0345052083333332e-05,0.018454132998158457,539,541065216,2,98304,1024,True,False
upair5g_lmmse,11.0,0.0,0.0,0.00225225354097347,0,541065216,0,98304,1024,False,False
perfect_csi_lmmse,11.0,0.0,0.0,0.0,0,541065216,0,98304,1024,False,False
baseline_ls_lmmse,12.0,0.0,0.0,0.011764580019189452,0,541065216,0,98304,1024,False,False
baseline_ls_2dlmmse_lmmse,12.0,0.16535428512928096,0.907928466796875,0.3970520556613337,89467452,541065216,89253,98304,1024,True,True
baseline_ddcpe_ls_lmmse,12.0,0.0,0.0,0.011758051563447225,0,541065216,0,98304,1024,False,False
paper_cfgres_phaseaware_ls_lmmse,12.0,0.0,0.0,0.017640304641645344,0,541065216,0,98304,1024,False,False
