receiver,ebno_db,ber,bler,nmse,bit_errors,num_bits,block_errors,num_blocks,num_batches_run,reliable_ber,reliable_bler
baseline_ls_lmmse,0.0,0.1809902634731559,1.0,0.1293759439140558,24481884,135266304,24576,24576,256,True,True
baseline_ls_2dlmmse_lmmse,0.0,0.2647414022637892,1.0,0.4916629946092143,35810591,135266304,24576,24576,256,True,True
baseline_ddcpe_ls_lmmse,0.0,0.1810628610063893,1.0,0.1296441716258414,24491704,135266304,24576,24576,256,True,True
paper_cfgres_phaseaware_ls_lmmse,0.0,0.1719012593114098,1.0,0.0709157813980709,23252448,135266304,24576,24576,256,True,True
upair5g_lmmse,0.0,0.1628102369086687,1.0,0.0178373509043012,22022739,135266304,24576,24576,256,True,True
perfect_csi_lmmse,0.0,0.1577892673108004,1.0,0.0,21343571,135266304,24576,24576,256,True,True
baseline_ls_lmmse,8.0,9.257664052090904e-06,0.0002950032552083,0.0237370270006067,5009,541065216,29,98304,1024,True,True
baseline_ls_2dlmmse_lmmse,8.0,0.1797211669212164,0.9549560546875,0.4182445774204097,97240872,541065216,93876,98304,1024,True,True
baseline_ddcpe_ls_lmmse,8.0,9.435091831887416e-06,0.0002950032552083,0.0237665261083748,5105,541065216,29,98304,1024,True,True
paper_cfgres_phaseaware_ls_lmmse,8.0,2.555329670277677e-05,0.0007120768229166,0.022915158790056,13826,541065216,70,98304,1024,True,True
upair5g_lmmse,8.0,1.1292538901632147e-06,2.034505208333333e-05,0.0036011140657592,611,541065216,2,98304,1024,True,False
perfect_csi_lmmse,8.0,1.034995382146318e-07,1.0172526041666666e-05,0.0,56,541065216,1,98304,1024,False,False
