metric,ebno_db,best_non_upair_receiver,best_non_upair_value,upair_value,gain_factor_best_non_upair_over_upair
ber,0.0,paper_cfgres_phaseaware_ls_lmmse,0.0726511275861412,0.028280620357691,2.5689368432253468
ber,2.0,paper_cfgres_phaseaware_ls_lmmse,0.0003725502846911,2.599686615489816e-05,14.330584404724739
ber,4.0,baseline_ls_lmmse,0.0,0.0,1.0
ber,6.0,baseline_ls_lmmse,0.0,0.0,1.0
ber,8.0,baseline_ls_lmmse,0.0,0.0,1.0
ber,10.0,baseline_ls_lmmse,0.0,0.0,1.0
ber,12.0,baseline_ls_lmmse,0.0,0.0,1.0
ber,14.0,baseline_ls_lmmse,0.0,0.0,1.0
ber,16.0,baseline_ls_lmmse,0.0,0.0,1.0
ber,18.0,baseline_ls_lmmse,0.0,0.0,1.0
bler,0.0,baseline_ls_lmmse,1.0,0.8990071612643078,1.1123381916042383
bler,2.0,paper_cfgres_phaseaware_ls_lmmse,0.0135701521066948,0.0008341486100107,16.268266761867206
bler,4.0,baseline_ls_lmmse,0.0,0.0,1.0
bler,6.0,baseline_ls_lmmse,0.0,0.0,1.0
bler,8.0,baseline_ls_lmmse,0.0,0.0,1.0
bler,10.0,baseline_ls_lmmse,0.0,0.0,1.0
bler,12.0,baseline_ls_lmmse,0.0,0.0,1.0
bler,14.0,baseline_ls_lmmse,0.0,0.0,1.0
bler,16.0,baseline_ls_lmmse,0.0,0.0,1.0
bler,18.0,baseline_ls_lmmse,0.0,0.0,1.0
nmse,0.0,paper_cfgres_phaseaware_ls_lmmse,0.0702953337604412,0.0147474749192042,4.766601343318945
nmse,2.0,paper_cfgres_phaseaware_ls_lmmse,0.0491942431617644,0.0094095259482855,5.228131941198167
nmse,4.0,paper_cfgres_phaseaware_ls_lmmse,0.0358816338120959,0.00631052956669,5.6859940885938265
nmse,6.0,paper_cfgres_phaseaware_ls_lmmse,0.0273949230140715,0.0043821537519761,6.251474632015812
nmse,8.0,paper_cfgres_phaseaware_ls_lmmse,0.0221809216891415,0.0031575167122355,7.024799458127827
nmse,10.0,baseline_ddcpe_ls_lmmse,0.0161948795866919,0.0023257670914063,6.96324221222835
nmse,12.0,baseline_ddcpe_ls_lmmse,0.0115657438309426,0.0017687973590909,6.538761363193683
nmse,14.0,baseline_ddcpe_ls_lmmse,0.0086337554039346,0.0013838693821526,6.238851379531822
nmse,16.0,baseline_ddcpe_ls_lmmse,0.0068035949298064,0.0011204754769096,6.072060540380139
nmse,18.0,baseline_ddcpe_ls_lmmse,0.0056280646595041,0.0009352980529229,6.017402304982711
