metric,ebno_db,rank,receiver,value
ber,0.0,1,perfect_csi_lmmse,0.1500657534768395
ber,0.0,2,upair5g_lmmse,0.1607837135910142
ber,0.0,3,paper_cfgres_phaseaware_ls_lmmse,0.1710887800717184
ber,0.0,4,baseline_ddcpe_ls_lmmse,0.1782917739651727
ber,0.0,5,baseline_ls_lmmse,0.1784233877844844
ber,0.0,6,baseline_ls_2dlmmse_lmmse,0.2653057287770806
ber,1.0,1,perfect_csi_lmmse,0.1242449943055497
ber,1.0,2,upair5g_lmmse,0.1362232519379744
ber,1.0,3,paper_cfgres_phaseaware_ls_lmmse,0.1492293878649989
ber,1.0,4,baseline_ddcpe_ls_lmmse,0.1551325777743725
ber,1.0,5,baseline_ls_lmmse,0.1554704355009904
ber,1.0,6,baseline_ls_2dlmmse_lmmse,0.2497765967186461
ber,2.0,1,perfect_csi_lmmse,0.0869465888814723
ber,2.0,2,upair5g_lmmse,0.1049664477084545
ber,2.0,3,paper_cfgres_phaseaware_ls_lmmse,0.124362438283068
ber,2.0,4,baseline_ddcpe_ls_lmmse,0.1286953729940644
ber,2.0,5,baseline_ls_lmmse,0.1294515758541458
ber,2.0,6,baseline_ls_2dlmmse_lmmse,0.2350328323688913
ber,3.0,1,perfect_csi_lmmse,0.0243335006930303
ber,3.0,2,upair5g_lmmse,0.0508943381884419
ber,3.0,3,paper_cfgres_phaseaware_ls_lmmse,0.0916487308258705
ber,3.0,4,baseline_ddcpe_ls_lmmse,0.0948306550370886
ber,3.0,5,baseline_ls_lmmse,0.0967252068485774
ber,3.0,6,baseline_ls_2dlmmse_lmmse,0.2217886092814993
ber,4.0,1,perfect_csi_lmmse,0.002671349978616
ber,4.0,2,upair5g_lmmse,0.0081422548767522
ber,4.0,3,baseline_ddcpe_ls_lmmse,0.03907044728597
ber,4.0,4,paper_cfgres_phaseaware_ls_lmmse,0.0405001944683967
ber,4.0,5,baseline_ls_lmmse,0.0445806692678032
ber,4.0,6,baseline_ls_2dlmmse_lmmse,0.2101663224240567
ber,5.0,1,perfect_csi_lmmse,0.0002424902949772
ber,5.0,2,upair5g_lmmse,0.0008631023109381
ber,5.0,3,baseline_ddcpe_ls_lmmse,0.0069952214017827
ber,5.0,4,paper_cfgres_phaseaware_ls_lmmse,0.011091225536157
ber,5.0,5,baseline_ls_lmmse,0.0116296862879543
ber,5.0,6,baseline_ls_2dlmmse_lmmse,0.2006819569472725
ber,6.0,1,perfect_csi_lmmse,1.5220701035599667e-05
ber,6.0,2,upair5g_lmmse,8.541391175363524e-05
ber,6.0,3,baseline_ddcpe_ls_lmmse,0.0010505766048451
ber,6.0,4,paper_cfgres_phaseaware_ls_lmmse,0.0028771284411649
ber,6.0,5,baseline_ls_lmmse,0.0029241206023539
ber,6.0,6,baseline_ls_2dlmmse_lmmse,0.1919486670322343
ber,7.0,1,perfect_csi_lmmse,1.2935476100191155e-06
ber,7.0,2,upair5g_lmmse,9.28141546587572e-06
ber,7.0,3,baseline_ddcpe_ls_lmmse,0.000177762187119
ber,7.0,4,baseline_ls_lmmse,0.0008602615789318
ber,7.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0009090866602904
ber,7.0,6,baseline_ls_2dlmmse_lmmse,0.1858729217069369
ber,8.0,1,perfect_csi_lmmse,5.799827846229499e-07
ber,8.0,2,upair5g_lmmse,2.363894848113364e-06
ber,8.0,3,baseline_ddcpe_ls_lmmse,4.188896070980856e-05
ber,8.0,4,baseline_ls_lmmse,0.0003121863020227
ber,8.0,5,paper_cfgres_phaseaware_ls_lmmse,0.000358779379662
ber,8.0,6,baseline_ls_2dlmmse_lmmse,0.1809999080414467
ber,9.0,1,perfect_csi_lmmse,2.1136398856521497e-07
ber,9.0,2,upair5g_lmmse,1.1887110716907691e-06
ber,9.0,3,baseline_ddcpe_ls_lmmse,2.472451392640459e-05
ber,9.0,4,baseline_ls_lmmse,0.0001398942149277
