receiver,ebno_db,ber,bler,nmse
baseline_ls_lmmse,0.0,0.0141772055261147,0.1032552083333333,0.2011495095988114
baseline_ls_timeavg_lmmse,0.0,0.0141781720226087,0.1032552083333333,0.2011495095988114
baseline_ls_2dlmmse_lmmse,0.0,0.1822110592077175,0.8946614583333333,0.582381205757459
baseline_ddcpe_ls_lmmse,0.0,0.0126851061242632,0.0899739583333333,0.1976070980230967
paper_cfgres_ls_lmmse,0.0,0.0303770861122757,0.2194010416666666,0.2622185127188762
upair5g_lmmse,0.0,0.0006693280516477,0.0049479166666666,0.0579173194554944
perfect_csi_lmmse,0.0,0.0,0.0,0.0
baseline_ls_lmmse,8.0,0.0040999001130103,0.0385416666666666,0.0928456902503967
baseline_ls_timeavg_lmmse,8.0,0.0040985856483302,0.0385416666666666,0.0928456902503967
baseline_ls_2dlmmse_lmmse,8.0,0.0853987282452484,0.4315104166666667,0.4969131474693616
baseline_ddcpe_ls_lmmse,8.0,0.002102663563744,0.0260416666666666,0.0763149915263056
paper_cfgres_ls_lmmse,8.0,0.0180698470220969,0.1106770833333333,0.2509197471042474
upair5g_lmmse,8.0,7.395740671730285e-05,0.0005208333333333,0.0197581029186646
perfect_csi_lmmse,8.0,0.0,0.0,0.0
baseline_ls_lmmse,16.0,0.006538522821044,0.10078125,0.07657572425281
baseline_ls_timeavg_lmmse,16.0,0.0065500822456215,0.1006510416666666,0.07657572425281
baseline_ls_2dlmmse_lmmse,16.0,0.0657492932863533,0.4841145833333333,0.4520129020015399
baseline_ddcpe_ls_lmmse,16.0,0.0031737894826581,0.04765625,0.0585528740348915
paper_cfgres_ls_lmmse,16.0,0.0317518510545293,0.2858072916666667,0.2806833110749721
upair5g_lmmse,16.0,9.69217042438686e-05,0.0005208333333333,0.0134339798241853
perfect_csi_lmmse,16.0,0.0,0.0,0.0
