metric,ebno_db,best_non_upair_receiver,best_non_upair_value,upair_value,gain_factor_best_non_upair_over_upair
ber,0.0,baseline_ddcpe_ls_lmmse,0.0126851061242632,0.0006693280516477,18.952001328849118
ber,2.0,baseline_ddcpe_ls_lmmse,0.0058535372995227,0.0002659451078216,22.010321406060008
ber,4.0,baseline_ddcpe_ls_lmmse,0.002567168631856,0.0001024501417608,25.057736258187038
ber,6.0,baseline_ddcpe_ls_lmmse,0.0027321326818575,8.8145784320659e-05,30.995613720089864
ber,8.0,baseline_ddcpe_ls_lmmse,0.002102663563744,7.395740671730285e-05,28.43073678585417
ber,10.0,baseline_ddcpe_ls_lmmse,0.0020678691615292,3.193351609146096e-05,64.7554486517114
ber,12.0,baseline_ddcpe_ls_lmmse,0.0022503463834179,0.0001320253742202,17.044802157989984
ber,14.0,baseline_ddcpe_ls_lmmse,0.0026832272495804,3.1894856753448646e-05,84.1272707484499
ber,16.0,baseline_ddcpe_ls_lmmse,0.0031737894826581,9.69217042438686e-05,32.745910809331214
bler,0.0,baseline_ddcpe_ls_lmmse,0.0899739583333333,0.0049479166666666,18.18421052631603
bler,2.0,baseline_ddcpe_ls_lmmse,0.0361979166666666,0.0014322916666666,25.272727272728403
bler,4.0,baseline_ddcpe_ls_lmmse,0.0178385416666666,0.0005208333333333,34.25000000000206
bler,6.0,baseline_ddcpe_ls_lmmse,0.023046875,0.0005208333333333,44.25000000000283
bler,8.0,baseline_ddcpe_ls_lmmse,0.0260416666666666,0.0005208333333333,50.00000000000306
bler,10.0,baseline_ddcpe_ls_lmmse,0.0282552083333333,0.0002604166666666,108.50000000002765
bler,12.0,baseline_ddcpe_ls_lmmse,0.0381510416666666,0.0006510416666666,58.600000000005906
bler,14.0,baseline_ddcpe_ls_lmmse,0.044921875,0.0001302083333333,345.00000000008833
bler,16.0,baseline_ddcpe_ls_lmmse,0.04765625,0.0005208333333333,91.50000000000584
nmse,0.0,baseline_ddcpe_ls_lmmse,0.1976070980230967,0.0579173194554944,3.4118826610224007
nmse,2.0,baseline_ddcpe_ls_lmmse,0.1470274613549312,0.040206140341858,3.6568409726676285
nmse,4.0,baseline_ddcpe_ls_lmmse,0.1121485980227589,0.0298761977814137,3.753777466707217
nmse,6.0,baseline_ddcpe_ls_lmmse,0.0902701275423169,0.0236789033748209,3.812259635228976
nmse,8.0,baseline_ddcpe_ls_lmmse,0.0763149915263056,0.0197581029186646,3.862465533278209
nmse,10.0,baseline_ddcpe_ls_lmmse,0.0676582594091693,0.016877177489611,4.008861046274909
nmse,12.0,baseline_ddcpe_ls_lmmse,0.063693671207875,0.0153090805358563,4.160515783994623
nmse,14.0,baseline_ddcpe_ls_lmmse,0.0603661770621935,0.0141008149987707,4.281041703437439
nmse,16.0,baseline_ddcpe_ls_lmmse,0.0585528740348915,0.0134339798241853,4.358564982320302
