metric,ebno_db,rank,receiver,value
ber,0.0,1,perfect_csi_lmmse,0.0
ber,0.0,2,upair5g_lmmse,0.0001436621630394
ber,0.0,3,paper_cfgres_phaseaware_ls_lmmse,0.0055383001586657
ber,0.0,4,baseline_ddcpe_ls_lmmse,0.0077155782926032
ber,0.0,5,baseline_ls_timeavg_lmmse,0.0093054112485939
ber,0.0,6,baseline_ls_lmmse,0.0093086200196315
ber,0.0,7,paper_cfgres_ls_lmmse,0.0448409201266864
ber,0.0,8,baseline_ls_2dlmmse_lmmse,0.17190291347603
ber,2.0,1,perfect_csi_lmmse,0.0
ber,2.0,2,upair5g_lmmse,6.061955718905665e-05
ber,2.0,3,paper_cfgres_phaseaware_ls_lmmse,0.0020483456438417
ber,2.0,4,baseline_ddcpe_ls_lmmse,0.002057740136225
ber,2.0,5,baseline_ls_timeavg_lmmse,0.002857585795319
ber,2.0,6,baseline_ls_lmmse,0.0028715035347393
ber,2.0,7,paper_cfgres_ls_lmmse,0.0347268098887677
ber,2.0,8,baseline_ls_2dlmmse_lmmse,0.1269663465519746
ber,4.0,1,upair5g_lmmse,0.0
ber,4.0,2,perfect_csi_lmmse,0.0
ber,4.0,3,baseline_ddcpe_ls_lmmse,0.0005396609656637
ber,4.0,4,baseline_ls_timeavg_lmmse,0.0012664770692708
ber,4.0,5,baseline_ls_lmmse,0.0012732813102009
ber,4.0,6,paper_cfgres_phaseaware_ls_lmmse,0.0014991355499281
ber,4.0,7,paper_cfgres_ls_lmmse,0.0350918415778627
ber,4.0,8,baseline_ls_2dlmmse_lmmse,0.1033183793847759
ber,6.0,1,upair5g_lmmse,0.0
ber,6.0,2,perfect_csi_lmmse,0.0
ber,6.0,3,baseline_ddcpe_ls_lmmse,0.0002314213446538
ber,6.0,4,baseline_ls_timeavg_lmmse,0.0007747163880897
ber,6.0,5,baseline_ls_lmmse,0.0007783504679158
ber,6.0,6,paper_cfgres_phaseaware_ls_lmmse,0.0008380808382298
ber,6.0,7,paper_cfgres_ls_lmmse,0.0302933476011579
ber,6.0,8,baseline_ls_2dlmmse_lmmse,0.0849449708436926
ber,8.0,1,upair5g_lmmse,0.0
ber,8.0,2,perfect_csi_lmmse,0.0
ber,8.0,3,baseline_ddcpe_ls_lmmse,0.0002294496604311
ber,8.0,4,baseline_ls_lmmse,0.0006296237840577
ber,8.0,5,baseline_ls_timeavg_lmmse,0.000643657525912
ber,8.0,6,paper_cfgres_phaseaware_ls_lmmse,0.0006574206349265
ber,8.0,7,paper_cfgres_ls_lmmse,0.0301099038760488
ber,8.0,8,baseline_ls_2dlmmse_lmmse,0.071976444683969
ber,10.0,1,upair5g_lmmse,0.0
ber,10.0,2,perfect_csi_lmmse,0.0
ber,10.0,3,baseline_ddcpe_ls_lmmse,6.5336130774085175e-06
ber,10.0,4,baseline_ls_lmmse,0.0007610305976413
ber,10.0,5,baseline_ls_timeavg_lmmse,0.0007610692537127
ber,10.0,6,paper_cfgres_phaseaware_ls_lmmse,0.0009010586803356
ber,10.0,7,paper_cfgres_ls_lmmse,0.0321160710106293
ber,10.0,8,baseline_ls_2dlmmse_lmmse,0.0649239703702429
ber,12.0,1,perfect_csi_lmmse,0.0
ber,12.0,2,upair5g_lmmse,3.162423381581902e-05
ber,12.0,3,baseline_ddcpe_ls_lmmse,0.0001994878241021
ber,12.0,4,paper_cfgres_phaseaware_ls_lmmse,0.0006431162830684
ber,12.0,5,baseline_ls_lmmse,0.0008287250111531
ber,12.0,6,baseline_ls_timeavg_lmmse,0.0008389700250442
ber,12.0,7,paper_cfgres_ls_lmmse,0.0345819493445257
ber,12.0,8,baseline_ls_2dlmmse_lmmse,0.0610662004134307
ber,14.0,1,upair5g_lmmse,0.0
ber,14.0,2,perfect_csi_lmmse,0.0
ber,14.0,3,baseline_ddcpe_ls_lmmse,0.0003158943859186
ber,14.0,4,paper_cfgres_phaseaware_ls_lmmse,0.0013490557626331
ber,14.0,5,baseline_ls_timeavg_lmmse,0.0014731170724341
ber,14.0,6,baseline_ls_lmmse,0.0014738902834665
ber,14.0,7,paper_cfgres_ls_lmmse,0.0392474901474391
ber,14.0,8,baseline_ls_2dlmmse_lmmse,0.0567239385874321
ber,16.0,1,upair5g_lmmse,0.0
ber,16.0,2,perfect_csi_lmmse,0.0
ber,16.0,3,baseline_ddcpe_ls_lmmse,0.0003993622590276
ber,16.0,4,paper_cfgres_phaseaware_ls_lmmse,0.001417639364259
ber,16.0,5,baseline_ls_lmmse,0.0015419713071044
ber,16.0,6,baseline_ls_timeavg_lmmse,0.0015462239689933
ber,16.0,7,paper_cfgres_ls_lmmse,0.0413145472838853
ber,16.0,8,baseline_ls_2dlmmse_lmmse,0.0523978747893124
bler,0.0,1,perfect_csi_lmmse,0.0
bler,0.0,2,upair5g_lmmse,0.001953125
bler,0.0,3,paper_cfgres_phaseaware_ls_lmmse,0.048828125
bler,0.0,4,baseline_ddcpe_ls_lmmse,0.0684895833333333
bler,0.0,5,baseline_ls_lmmse,0.0779947916666666
bler,0.0,6,baseline_ls_timeavg_lmmse,0.078125
bler,0.0,7,paper_cfgres_ls_lmmse,0.28671875
bler,0.0,8,baseline_ls_2dlmmse_lmmse,0.8802083333333334
bler,2.0,1,perfect_csi_lmmse,0.0
bler,2.0,2,upair5g_lmmse,0.0005208333333333
bler,2.0,3,paper_cfgres_phaseaware_ls_lmmse,0.0162760416666666
bler,2.0,4,baseline_ddcpe_ls_lmmse,0.0166666666666666
bler,2.0,5,baseline_ls_timeavg_lmmse,0.021875
bler,2.0,6,baseline_ls_lmmse,0.0221354166666666
bler,2.0,7,paper_cfgres_ls_lmmse,0.191796875
bler,2.0,8,baseline_ls_2dlmmse_lmmse,0.683203125
bler,4.0,1,upair5g_lmmse,0.0
bler,4.0,2,perfect_csi_lmmse,0.0
bler,4.0,3,baseline_ddcpe_ls_lmmse,0.0053385416666666
bler,4.0,4,paper_cfgres_phaseaware_ls_lmmse,0.0096354166666666
bler,4.0,5,baseline_ls_lmmse,0.010546875
bler,4.0,6,baseline_ls_timeavg_lmmse,0.010546875
bler,4.0,7,paper_cfgres_ls_lmmse,0.1751302083333333
bler,4.0,8,baseline_ls_2dlmmse_lmmse,0.54921875
bler,6.0,1,upair5g_lmmse,0.0
bler,6.0,2,perfect_csi_lmmse,0.0
bler,6.0,3,baseline_ddcpe_ls_lmmse,0.006640625
bler,6.0,4,paper_cfgres_phaseaware_ls_lmmse,0.0067708333333333
bler,6.0,5,baseline_ls_lmmse,0.012109375
bler,6.0,6,baseline_ls_timeavg_lmmse,0.012109375
bler,6.0,7,paper_cfgres_ls_lmmse,0.15078125
bler,6.0,8,baseline_ls_2dlmmse_lmmse,0.44375
bler,8.0,1,upair5g_lmmse,0.0
bler,8.0,2,perfect_csi_lmmse,0.0
bler,8.0,3,baseline_ddcpe_ls_lmmse,0.008203125
bler,8.0,4,paper_cfgres_phaseaware_ls_lmmse,0.0110677083333333
bler,8.0,5,baseline_ls_lmmse,0.0178385416666666
bler,8.0,6,baseline_ls_timeavg_lmmse,0.0178385416666666
bler,8.0,7,paper_cfgres_ls_lmmse,0.1625
bler,8.0,8,baseline_ls_2dlmmse_lmmse,0.3856770833333333
bler,10.0,1,upair5g_lmmse,0.0
bler,10.0,2,perfect_csi_lmmse,0.0
bler,10.0,3,baseline_ddcpe_ls_lmmse,0.012890625
bler,10.0,4,paper_cfgres_phaseaware_ls_lmmse,0.0174479166666666
