metric,ebno_db,paper_value,upair_value,paper_over_upair
ber,0.0,0.030013716686517,0.0008205290067849,36.578495627010824
ber,2.0,0.0213137278682552,0.0001799643089081,118.43308263495292
ber,4.0,0.0207675332358727,3.866043319552167e-08,537177.9754986905
ber,6.0,0.0188684168909503,8.049101840394239e-05,234.4164263925643
ber,8.0,0.0183445680183012,0.0,18344568018.3012
ber,10.0,0.0211768699877514,9.587787073617922e-05,220.87338637319542
ber,12.0,0.0234945627705504,0.0001070507331367,219.47129255573313
ber,14.0,0.026733301700248,3.363457567881293e-05,794.8160831738342
ber,16.0,0.0296076660510152,2.721694300286496e-05,1087.8395140813052
bler,0.0,0.2134114583333333,0.0055989583333333,38.116279069767664
bler,2.0,0.1247395833333333,0.0013020833333333,95.80000000000243
bler,4.0,0.1110677083333333,0.0001302083333333,853.0000000002182
bler,6.0,0.09921875,0.000390625,253.99999999999997
bler,8.0,0.1075520833333333,0.0,107552083333.3333
bler,10.0,0.14765625,0.0006510416666666,226.80000000002323
bler,12.0,0.17734375,0.0006510416666666,272.4000000000279
bler,14.0,0.2204427083333333,0.000390625,564.3333333333331
bler,16.0,0.271484375,0.0006510416666666,417.00000000004275
nmse,0.0,0.2590195664515098,0.0580300270890196,4.463543779742976
nmse,2.0,0.2524780766417583,0.0397913220959405,6.345053728876127
nmse,4.0,0.2517839505026737,0.0299499886886527,8.406812874626171
nmse,6.0,0.2514422621577978,0.0238645419167975,10.536228310371024
nmse,8.0,0.2507758017629385,0.0196165376653273,12.783897242284032
nmse,10.0,0.2533391440908114,0.016994543474478,14.907087352553487
nmse,12.0,0.2526698267708222,0.0153377671260386,16.473703420745647
nmse,14.0,0.2568790938705206,0.0140161110010618,18.327415775393085
nmse,16.0,0.2676139780630668,0.0132888026069849,20.138306360454383
