receiver,ebno_db,ber,bler,nmse
baseline_ls_lmmse,0.0,0.0,0.0,0.13029784597456456
baseline_ls_timeavg_lmmse,0.0,2.8483072734767727e-05,0.0009114583333333333,0.10391302996625502
baseline_ls_2dlmmse_lmmse,0.0,0.12807516486694415,0.7028645833333333,0.5012106443444888
baseline_ddcpe_ls_lmmse,0.0,0.0,0.0,0.1303836425145467
paper_cfgres_ls_lmmse,0.0,5.986059559290879e-05,0.0018229166666666667,0.07368522193282842
paper_cfgres_phaseaware_ls_lmmse,0.0,0.0,0.0,0.07404987638195355
upair5g_lmmse,0.0,0.0,0.0,0.09134807468702395
perfect_csi_lmmse,0.0,0.0,0.0,0.0
baseline_ls_lmmse,2.0,0.0,0.0,0.08395226250092189
baseline_ls_timeavg_lmmse,2.0,4.1948559707331395e-08,0.00013020833333333333,0.07839425324151914
baseline_ls_2dlmmse_lmmse,2.0,0.08477883851155639,0.48125,0.4699618838727474
baseline_ddcpe_ls_lmmse,2.0,0.0,0.0,0.08388837613165379
paper_cfgres_ls_lmmse,2.0,8.666572787584907e-05,0.0014322916666666666,0.06418425645679235
paper_cfgres_phaseaware_ls_lmmse,2.0,0.0,0.0,0.05272365470106403
upair5g_lmmse,2.0,0.0,0.0,0.05834099402030309
perfect_csi_lmmse,2.0,0.0,0.0,0.0
baseline_ls_lmmse,4.0,0.0,0.0,0.05465307602037986
baseline_ls_timeavg_lmmse,4.0,8.809197728017655e-07,0.00013020833333333333,0.06247726812337836
baseline_ls_2dlmmse_lmmse,4.0,0.06119946880886952,0.344140625,0.4432738095521927
baseline_ddcpe_ls_lmmse,4.0,0.0,0.0,0.054423557594418526
paper_cfgres_ls_lmmse,4.0,8.205138355682114e-05,0.0010416666666666667,0.058290097396820784
paper_cfgres_phaseaware_ls_lmmse,4.0,0.0,0.0,0.03914361642673612
upair5g_lmmse,4.0,0.0,0.0,0.03861892720063528
perfect_csi_lmmse,4.0,0.0,0.0,0.0
baseline_ls_lmmse,6.0,0.0,0.0,0.036279903290172416
