metric,ebno_db,paper_value,upair_value,paper_over_upair
ber,0.0,5.986059559290879e-05,0.0,59860595.59290879
ber,2.0,8.666572787584907e-05,0.0,86665727.87584907
ber,4.0,8.205138355682114e-05,0.0,82051383.55682114
ber,6.0,5.2981033259887526e-05,0.0,52981033.259887524
ber,8.0,3.746006593701168e-05,0.0,37460065.93701168
ber,10.0,1.7618395077079184e-06,0.0,1761839.5077079185
ber,12.0,1.3423539295824109e-06,0.0,1342353.929582411
ber,14.0,1.493368757413312e-05,0.0,14933687.57413312
ber,16.0,9.769819914329976e-05,0.0,97698199.14329976
bler,0.0,0.0018229166666666,0.0,1822916666.6666
bler,2.0,0.0014322916666666,0.0,1432291666.6666
bler,4.0,0.0010416666666666,0.0,1041666666.6666001
bler,6.0,0.00078125,0.0,781250000.0
bler,8.0,0.001171875,0.0,1171875000.0
bler,10.0,0.00234375,0.0,2343750000.0
bler,12.0,0.0024739583333333,0.0,2473958333.3332996
bler,14.0,0.00546875,0.0,5468750000.0
bler,16.0,0.0080729166666666,0.0,8072916666.6666
nmse,0.0,0.0736852219328284,0.0913480746870239,0.8066423094880563
nmse,2.0,0.0641842564567923,0.058340994020303,1.1001570599646588
nmse,4.0,0.0582900973968207,0.0386189272006352,1.5093660446337296
nmse,6.0,0.0554264116411407,0.0262702179451783,2.109857320438173
nmse,8.0,0.0530642200882236,0.0185321797616779,2.8633555669448767
nmse,10.0,0.0526408333952228,0.0137123567362626,3.8389340656528477
nmse,12.0,0.051938150357455,0.0106167733824501,4.892084297787743
nmse,14.0,0.0533522729451457,0.0086990859669943,6.133089516251778
nmse,16.0,0.0565519106263915,0.0074256621068343,7.615739823973844
