receiver,ebno_db,ber,bler,nmse
baseline_ls_lmmse,0.0,0.01501640750405689,0.10559895833333334,0.20088979067901772
baseline_ls_timeavg_lmmse,0.0,0.015015441002712274,0.10559895833333334,0.20088979067901772
baseline_ls_2dlmmse_lmmse,0.0,0.18301299313704172,0.8893229166666666,0.5792264898618062
baseline_ddcpe_ls_lmmse,0.0,0.013171802302046369,0.09322916666666667,0.19733625377217928
upair5g_lmmse,0.0,0.0004221719143174596,0.004166666666666667,0.05754660706346234
perfect_csi_lmmse,0.0,0.0,0.0,0.0
baseline_ls_lmmse,2.0,0.007668721855043259,0.045572916666666664,0.1542079648623864
baseline_ls_timeavg_lmmse,2.0,0.007649932865964122,0.045572916666666664,0.1542079648623864
baseline_ls_2dlmmse_lmmse,2.0,0.14139817034204802,0.7173177083333333,0.5500416497389475
baseline_ddcpe_ls_lmmse,2.0,0.006252010361758191,0.03854166666666667,0.14719962837795417
upair5g_lmmse,2.0,0.00031075255027038413,0.0024739583333333332,0.04022377785295248
perfect_csi_lmmse,2.0,0.0,0.0,0.0
baseline_ls_lmmse,4.0,0.004151666422406682,0.026692708333333332,0.12358650950094065
baseline_ls_timeavg_lmmse,4.0,0.004177684894758235,0.027213541666666667,0.12358650950094065
baseline_ls_2dlmmse_lmmse,4.0,0.11655315936853489,0.5869791666666667,0.5262035836776098
baseline_ddcpe_ls_lmmse,4.0,0.0030534008596797926,0.019921875,0.11254966153452793
upair5g_lmmse,4.0,0.00015553091458665828,0.0006510416666666666,0.030013168044388295
perfect_csi_lmmse,4.0,0.0,0.0,0.0
baseline_ls_lmmse,6.0,0.0035754326686098163,0.029947916666666668,0.10541352548946938
baseline_ls_timeavg_lmmse,6.0,0.0035985902707125206,0.030078125,0.10541352548946938
baseline_ls_2dlmmse_lmmse,6.0,0.10278857685625553,0.5,0.5106851346790791
baseline_ddcpe_ls_lmmse,6.0,0.0024519991940943936,0.0203125,0.09085842197140058
upair5g_lmmse,6.0,6.259123717124263e-05,0.00026041666666666666,0.023797644892086585
perfect_csi_lmmse,6.0,0.0,0.0,0.0
baseline_ls_lmmse,8.0,0.0035187951524752255,0.037760416666666664,0.09144195833553871
baseline_ls_timeavg_lmmse,8.0,0.00349219679159584,0.037890625,0.09144195833553871
baseline_ls_2dlmmse_lmmse,8.0,0.08653511321172118,0.43385416666666665,0.4941923193633556
baseline_ddcpe_ls_lmmse,8.0,0.001730788855930617,0.02265625,0.07518821125850081
upair5g_lmmse,8.0,9.031076915562153e-05,0.000390625,0.0194226054319491
perfect_csi_lmmse,8.0,0.0,0.0,0.0
baseline_ls_lmmse,10.0,0.003900180307039136,0.05260416666666667,0.08585147274037203
baseline_ls_timeavg_lmmse,10.0,0.0038685560758911683,0.05286458333333333,0.08585147274037203
baseline_ls_2dlmmse_lmmse,10.0,0.08097694115713239,0.4373697916666667,0.4872951865196228
baseline_ddcpe_ls_lmmse,10.0,0.0019584601458215427,0.03229166666666667,0.06847026068717241
upair5g_lmmse,10.0,3.146959108259277e-05,0.0005208333333333333,0.016950939813007913
perfect_csi_lmmse,10.0,0.0,0.0,0.0
baseline_ls_lmmse,12.0,0.004537922811444635,0.066796875,0.08025426411380371
baseline_ls_timeavg_lmmse,12.0,0.004510280564560768,0.06692708333333333,0.08025426411380371
baseline_ls_2dlmmse_lmmse,12.0,0.074868361496677,0.44778645833333336,0.47386970842878023
baseline_ddcpe_ls_lmmse,12.0,0.002264844050944248,0.035416666666666666,0.06247413956249754
upair5g_lmmse,12.0,3.8660433195521667e-08,0.00013020833333333333,0.01500167379466196
perfect_csi_lmmse,12.0,0.0,0.0,0.0
baseline_ls_lmmse,14.0,0.005178796768192721,0.08268229166666667,0.07826570887118578
baseline_ls_timeavg_lmmse,14.0,0.00518413190704147,0.08255208333333333,0.07826570887118578
baseline_ls_2dlmmse_lmmse,14.0,0.07472512430200974,0.49973958333333335,0.4666294458011786
baseline_ddcpe_ls_lmmse,14.0,0.002416276961389485,0.04283854166666667,0.05999858801563581
upair5g_lmmse,14.0,0.00010577493872384972,0.0006510416666666666,0.014178955958535274
perfect_csi_lmmse,14.0,0.0,0.0,0.0
baseline_ls_lmmse,16.0,0.005912223799365772,0.095703125,0.07640497128789624
baseline_ls_timeavg_lmmse,16.0,0.0059030612623473646,0.09583333333333334,0.07640497128789624
baseline_ls_2dlmmse_lmmse,16.0,0.07034315783530473,0.5014322916666667,0.45018019825220107
baseline_ddcpe_ls_lmmse,16.0,0.0030727697566741577,0.046614583333333334,0.05793229474996527
upair5g_lmmse,16.0,0.0,0.0,0.013147954130545259
perfect_csi_lmmse,16.0,0.0,0.0,0.0
