receiver,ebno_db,ber,bler,nmse
baseline_ls_lmmse,0.0,0.0155393671161922,0.10833333333333334,0.20232553966343403
baseline_ls_timeavg_lmmse,0.0,0.015543813104644262,0.10833333333333334,0.20232553966343403
baseline_ls_2dlmmse_lmmse,0.0,0.17818531033893426,0.8869791666666667,0.5775676379601161
upair5g_lmmse,0.0,0.0006931042163463038,0.004427083333333333,0.0579941942046086
perfect_csi_lmmse,0.0,0.0,0.0,0.0
baseline_ls_lmmse,2.0,0.007422957490488594,0.044140625,0.15434289922316868
baseline_ls_timeavg_lmmse,2.0,0.007400998372804679,0.044140625,0.15434289922316868
baseline_ls_2dlmmse_lmmse,2.0,0.13556288033723832,0.7126302083333333,0.5471202696363131
upair5g_lmmse,2.0,0.00015239942295011132,0.001171875,0.040177085685233274
perfect_csi_lmmse,2.0,0.0,0.0,0.0
baseline_ls_lmmse,4.0,0.004496710788403865,0.028776041666666665,0.1248414301003019
baseline_ls_timeavg_lmmse,4.0,0.004507342375579052,0.02890625,0.1248414301003019
baseline_ls_2dlmmse_lmmse,4.0,0.11136040681352218,0.5764322916666667,0.5230102606117726
upair5g_lmmse,4.0,0.00011833958045220546,0.0006510416666666666,0.030082766339182852
perfect_csi_lmmse,4.0,0.0,0.0,0.0
baseline_ls_lmmse,6.0,0.004290418706481584,0.03268229166666667,0.10570634938776494
baseline_ls_timeavg_lmmse,6.0,0.00424305969585248,0.032552083333333336,0.10570634938776494
baseline_ls_2dlmmse_lmmse,6.0,0.09371528327465058,0.47994791666666664,0.5049698481957118
upair5g_lmmse,6.0,9.247575350173065e-05,0.0005208333333333333,0.023892774914080896
perfect_csi_lmmse,6.0,0.0,0.0,0.0
baseline_ls_lmmse,8.0,0.0034556240227516357,0.038411458333333336,0.09326588567346335
baseline_ls_timeavg_lmmse,8.0,0.0034724799605896804,0.03854166666666667,0.09326588567346335
baseline_ls_2dlmmse_lmmse,8.0,0.08145080208778381,0.417578125,0.4939768965045611
upair5g_lmmse,8.0,3.3595916340800615e-05,0.00026041666666666666,0.019490162143483758
perfect_csi_lmmse,8.0,0.0,0.0,0.0
baseline_ls_lmmse,10.0,0.004205752371747925,0.05416666666666667,0.08630599671353896
baseline_ls_timeavg_lmmse,10.0,0.004240740061519924,0.054296875,0.08630599671353896
baseline_ls_2dlmmse_lmmse,10.0,0.07477252185344696,0.4166666666666667,0.48119032780329385
upair5g_lmmse,10.0,6.255257733300823e-05,0.0005208333333333333,0.0169673565775156
perfect_csi_lmmse,10.0,0.0,0.0,0.0
baseline_ls_lmmse,12.0,0.004687268022181949,0.07200520833333333,0.08063283755133549
baseline_ls_timeavg_lmmse,12.0,0.004665888823327199,0.07200520833333333,0.08063283755133549
baseline_ls_2dlmmse_lmmse,12.0,0.0726654899151375,0.445703125,0.47328945274154344
upair5g_lmmse,12.0,9.255307386789961e-05,0.00078125,0.01518034382412831
perfect_csi_lmmse,12.0,0.0,0.0,0.0
baseline_ls_lmmse,14.0,0.005827982741618598,0.08359375,0.07819564721236626
baseline_ls_timeavg_lmmse,14.0,0.005807995304670991,0.08359375,0.07819564721236626
baseline_ls_2dlmmse_lmmse,14.0,0.06721827347452441,0.4571614583333333,0.4596184976398945
upair5g_lmmse,14.0,5.331273398496705e-05,0.000390625,0.014203471837875743
perfect_csi_lmmse,14.0,0.0,0.0,0.0
baseline_ls_lmmse,16.0,0.0056384692935315195,0.098046875,0.0756532397431632
baseline_ls_timeavg_lmmse,16.0,0.005621420048218321,0.09817708333333333,0.0756532397431632
baseline_ls_2dlmmse_lmmse,16.0,0.06049371721843878,0.475,0.4439704351127148
upair5g_lmmse,16.0,3.866043281656554e-07,0.0005208333333333333,0.01307762055657804
perfect_csi_lmmse,16.0,0.0,0.0,0.0
